datetime,following,posts,followers,avgl,avgc
2018-03-25 13:45:05,202,381,181774,24472.583333333332,216.16666666666666
2018-03-25 14:00:06,202,381,181795,24481.166666666668,216.41666666666666
2018-03-25 14:15:06,202,381,181826,24488.416666666668,216.41666666666666
2018-03-25 14:30:05,202,381,181854,24493.75,216.41666666666666
2018-03-25 14:45:06,202,381,181879,24499.583333333332,216.41666666666666
2018-03-25 15:00:06,202,381,181907,24504.916666666668,216.41666666666666
2018-03-25 15:15:06,202,381,181931,24510.083333333332,216.33333333333334
2018-03-25 15:30:06,202,381,181949,24515.75,216.33333333333334
2018-03-25 15:45:06,202,381,181991,24521.5,216.41666666666666
2018-03-25 16:00:06,202,381,182022,24528.0,216.41666666666666
2018-03-25 16:15:06,202,381,182052,24532.666666666668,216.5
2018-03-25 16:30:06,202,381,182077,24537.833333333332,216.58333333333334
2018-03-25 16:45:06,202,381,182114,24543.083333333332,216.58333333333334
2018-03-25 17:00:06,202,381,182145,24546.416666666668,216.58333333333334
2018-03-25 17:15:06,202,381,182163,24550.916666666668,216.5
2018-03-25 17:30:06,202,381,182185,24560.666666666668,216.66666666666666
2018-03-25 17:45:06,202,382,182221,23271.333333333332,208.83333333333334
2018-03-25 18:00:08,202,382,182231,23559.166666666668,210.58333333333334
2018-03-25 18:15:06,202,382,182256,23750.166666666668,211.5
2018-03-25 18:30:07,202,382,182290,23889.0,212.33333333333334
2018-03-25 18:45:08,202,382,182313,24003.083333333332,213.0
2018-03-25 19:00:09,202,382,182348,24111.25,213.5
2018-03-25 19:15:07,202,382,182378,24196.416666666668,214.0
2018-03-25 19:30:06,202,382,182456,24280.916666666668,214.33333333333334
2018-03-25 19:45:07,202,382,182534,24356.416666666668,214.58333333333334
2018-03-25 20:00:06,202,382,182601,24418.083333333332,214.75
2018-03-25 20:15:06,202,382,182651,24484.833333333332,215.0
2018-03-25 20:30:06,202,382,182699,24544.25,215.41666666666666
2018-03-25 20:45:05,202,382,182750,24598.25,215.91666666666666
2018-03-25 21:00:06,202,382,182784,24644.916666666668,216.08333333333334
2018-03-25 21:15:06,202,382,182823,24691.5,216.33333333333334
2018-03-25 21:30:07,202,382,182863,24734.083333333332,216.5
2018-03-25 21:45:07,202,382,182914,24772.5,216.5
2018-03-25 22:00:07,202,382,182954,24808.75,216.83333333333334
2018-03-25 22:15:06,202,382,182992,24842.083333333332,217.08333333333334
2018-03-25 22:30:08,202,382,183036,24873.0,217.08333333333334
2018-03-25 22:45:07,202,382,183066,24907.083333333332,217.41666666666666
2018-03-25 23:00:07,202,382,183103,24934.583333333332,217.83333333333334
2018-03-25 23:15:06,202,382,183127,24956.916666666668,218.0
2018-03-25 23:30:06,202,382,183153,24977.833333333332,218.16666666666666
2018-03-25 23:45:06,202,382,183174,24995.5,218.16666666666666
2018-03-26 00:00:06,202,382,183193,25009.5,218.16666666666666
2018-03-26 00:15:06,202,382,183202,25022.333333333332,218.33333333333334
2018-03-26 00:30:06,202,382,183227,25031.166666666668,218.33333333333334
2018-03-26 00:45:07,202,382,183246,25041.583333333332,218.33333333333334
2018-03-26 01:00:07,202,382,183238,25048.0,218.33333333333334
2018-03-26 01:15:07,202,382,183258,25055.416666666668,218.33333333333334
2018-03-26 01:30:07,202,382,183268,25060.083333333332,218.41666666666666
2018-03-26 01:45:06,202,382,183272,25063.166666666668,218.33333333333334
2018-03-26 02:00:07,202,382,183277,25065.75,218.33333333333334
2018-03-26 02:15:08,202,382,183282,25068.333333333332,218.41666666666666
2018-03-26 02:30:08,202,382,183284,25070.5,218.41666666666666
2018-03-26 02:45:06,202,382,183284,25073.166666666668,218.41666666666666
2018-03-26 03:00:07,202,382,183284,25074.666666666668,218.33333333333334
2018-03-26 03:15:07,202,382,183287,25075.75,218.41666666666666
2018-03-26 03:30:08,202,382,183286,25077.75,218.33333333333334
2018-03-26 03:45:08,202,382,183288,25078.833333333332,218.33333333333334
2018-03-26 04:00:06,202,382,183289,25079.583333333332,218.41666666666666
2018-03-26 04:15:07,202,382,183291,25081.333333333332,218.41666666666666
2018-03-26 04:30:07,202,382,183290,25082.5,218.5
2018-03-26 04:45:07,202,382,183292,25083.416666666668,218.5
2018-03-26 05:00:06,202,382,183291,25084.166666666668,218.5
2018-03-26 05:15:06,202,382,183292,25085.083333333332,218.5
2018-03-26 05:30:06,202,382,183292,25086.0,218.58333333333334
2018-03-26 05:45:06,202,382,183291,25087.916666666668,218.5
2018-03-26 06:00:07,202,382,183294,25089.916666666668,218.58333333333334
2018-03-26 06:15:06,202,382,183294,25091.416666666668,218.58333333333334
2018-03-26 06:30:06,202,382,183289,25093.416666666668,218.58333333333334
2018-03-26 06:45:08,202,382,183288,25096.416666666668,218.5
2018-03-26 07:00:06,202,382,183287,25100.75,218.5
2018-03-26 07:15:07,202,382,183290,25104.0,218.5
2018-03-26 07:30:06,202,382,183295,25108.0,218.58333333333334
2018-03-26 07:45:07,202,382,183301,25113.583333333332,218.58333333333334
2018-03-26 08:00:07,202,382,183299,25118.0,218.58333333333334
2018-03-26 08:15:06,202,382,183308,25122.833333333332,218.58333333333334
2018-03-26 08:30:05,202,382,183307,25129.083333333332,218.58333333333334
2018-03-26 08:45:05,202,382,183308,25135.166666666668,218.58333333333334
2018-03-26 09:00:05,202,382,183318,25143.416666666668,218.58333333333334
2018-03-26 09:15:06,202,382,183332,25154.583333333332,218.58333333333334
2018-03-26 09:30:06,202,382,183335,25161.833333333332,218.66666666666666
2018-03-26 09:45:05,202,382,183349,25170.75,218.83333333333334
2018-03-26 10:00:05,202,382,183353,25179.416666666668,218.83333333333334
2018-03-26 10:15:06,202,382,183378,25189.416666666668,219.0
2018-03-26 10:30:06,202,382,183407,25200.583333333332,219.25
2018-03-26 10:45:06,202,382,183417,25207.333333333332,219.33333333333334
2018-03-26 11:00:06,202,382,183438,25216.5,219.5
2018-03-26 11:15:06,202,382,183455,25224.25,219.58333333333334
2018-03-26 11:30:06,202,382,183480,25232.166666666668,219.66666666666666
2018-03-26 11:45:06,202,382,183497,25241.416666666668,219.66666666666666
2018-03-26 12:00:05,202,382,183520,25251.083333333332,219.66666666666666
2018-03-26 12:15:05,202,382,183530,25258.75,219.75
2018-03-26 12:30:05,202,382,183551,25269.0,219.83333333333334
2018-03-26 12:45:06,202,382,183575,25277.25,219.91666666666666
2018-03-26 13:00:06,202,382,183590,25285.083333333332,219.91666666666666
2018-03-26 13:15:06,202,382,183606,25292.333333333332,219.91666666666666
2018-03-26 13:30:06,202,382,183619,25302.166666666668,220.0
2018-03-26 13:45:05,202,382,183646,25310.666666666668,220.08333333333334
2018-03-26 14:00:05,202,382,183664,25317.25,220.16666666666666
2018-03-26 14:15:06,202,382,183683,25325.833333333332,220.08333333333334
2018-03-26 14:30:06,202,382,183703,25331.916666666668,220.25
2018-03-26 14:45:05,202,382,183717,25337.583333333332,220.33333333333334
2018-03-26 15:00:05,202,382,183729,25344.333333333332,220.33333333333334
2018-03-26 15:15:05,202,382,183748,25349.916666666668,220.33333333333334
2018-03-26 15:30:06,202,382,183772,25356.666666666668,220.33333333333334
2018-03-26 15:45:06,202,382,183791,25366.583333333332,220.33333333333334
2018-03-26 16:00:05,202,382,183806,25371.75,220.41666666666666
2018-03-26 16:15:06,202,382,183827,25377.833333333332,220.41666666666666
2018-03-26 16:30:06,202,382,183852,25383.666666666668,220.41666666666666
2018-03-26 16:45:06,202,382,183866,25388.583333333332,220.5
2018-03-26 17:00:07,202,382,183880,25393.333333333332,220.58333333333334
2018-03-26 17:15:07,202,382,183897,25398.333333333332,220.58333333333334
2018-03-26 17:30:07,202,382,183923,25403.666666666668,220.5
2018-03-26 17:45:07,202,382,183950,25411.0,220.75
2018-03-26 18:00:05,202,382,183976,25416.5,220.75
2018-03-26 18:15:05,202,382,183997,25426.083333333332,220.66666666666666
2018-03-26 18:30:06,202,382,184016,25431.75,220.83333333333334
2018-03-26 18:45:07,202,382,184027,25435.583333333332,220.83333333333334
2018-03-26 19:00:07,202,383,184047,23777.583333333332,213.0
2018-03-26 19:15:06,202,383,184036,24056.583333333332,214.66666666666666
2018-03-26 19:30:06,202,383,184039,24233.416666666668,215.75
2018-03-26 19:45:07,202,383,184052,24363.75,216.33333333333334
2018-03-26 20:00:06,202,383,184060,24473.916666666668,216.91666666666666
2018-03-26 20:15:06,202,383,184075,24569.25,217.66666666666666
2018-03-26 20:30:06,202,383,184091,24642.5,218.25
2018-03-26 20:45:06,202,383,184098,24714.5,218.58333333333334
2018-03-26 21:00:06,202,383,184148,24781.083333333332,219.0
2018-03-26 21:15:05,202,383,184214,24839.833333333332,219.25
2018-03-26 21:30:05,202,383,184230,24892.833333333332,219.58333333333334
2018-03-26 21:45:05,202,383,184270,24946.0,219.83333333333334
